eid,cid,et,tp,id
,"2253490368540","Vehicle","42893.33","09/06/2023"
"7715289351043","9370150394212","Vehicle","2730.15",
"7054940154992","5245459993470","Bodily Injury","42868.58","11/06/2023"
"3194292873636","f25d820e-0234-407e-8785-4af54cb63c9f","Bodily Injury","2943.14","09/06/2023"
"978434379544","5439655229466",,"2452.81","10/06/2023"
"9831688802746","8051455518141","Vehicle","7887.80","09/06/2023"
"9571050016161","7726552608258","Property","3524.94","11/06/2023"
"9575499485694","4169961360768","Property","16318.55","11/06/2023"
"6567449857463","6640072136741","Bodily Injury","40741.97","09/06/2023"
"4423597395290","4186764540843","Property","27531.05","09/06/2023"
"3848487743112","1883575123041","Bodily Injury","34512.09","09/06/2023"
"8951418688968","2436664213794","Property","46302.46","11/06/2023"
"3419095055103","3612688571053",,"19990.88","10/06/2023"
"2338099963970","7591096672473","Property",,"10/06/2023"
"6212790049543","8049147688297","Property","4164.34","09/06/2023"
"7532180050173","2106124191249","Bodily Injury","46577.33","10/06/2023"
"6885469011172","6608283914105","Property","42403.74","11/06/2023"
"4046268801659","9067000716111","Property","34181.67","09/06/2023"
"9415450274585","4843416413143","Bodily Injury","30033.97","11/06/2023"
"4306949543040","8032660241774","Vehicle","4913.83","11/06/2023"
"4716812446879","8367107613038","Bodily Injury","33900.51","11/06/2023"
"3613348936393","9608113810127","Vehicle","18348.08","11/06/2023"
"927707564131","4295647839024","Bodily Injury","21889.15","10/06/2023"
"6949616601861","2670317801328","Property","1029.15","10/06/2023"
"317410748106","7593872792031","Vehicle","24910.91","09/06/2023"
,"4067035363020","Vehicle","19330.94","10/06/2023"
"7421021423410","4745240122446","Vehicle","39693.96","11/06/2023"
"7584851717784","839932375067","Bodily Injury","13861.96","11/06/2023"
"162579621779","1060085204455","Property",,
"7050863785159","9855563765260","Property","332.37","10/06/2023"
"4514238248277","8194961521045","Bodily Injury","19058.40","11/06/2023"
"6675865655589","2099360629073","Vehicle","45270.97","09/06/2023"
"1173283055273","7460907280010","Property","27061.05","11/06/2023"
"5896104540983","1135029743292","Vehicle","15256.86","09/06/2023"
"2986460634131","6823872245366","Vehicle","41937.44","10/06/2023"
"1421331890519","1848501653229","Property","35218.43","10/06/2023"
"6386755231986","9357292501063",,"32918.23","10/06/2023"
"3667364725741","7747731638094","Property","3685.11","10/06/2023"
,"5586683602240","Bodily Injury","34730.10","10/06/2023"
"2907508197545","9336019163321","Vehicle","22422.78","10/06/2023"
"1952927779233","8692530154988","Bodily Injury","2025.36","09/06/2023"
"9880987254077","1787143939813","Property","14292.75","09/06/2023"
"2205649973018","7096336456666","Bodily Injury","9936.86","11/06/2023"
"9375836955500","1253141804867","Bodily Injury","28525.25","11/06/2023"
"2189893841033","8325635680590","Bodily Injury","19611.61","10/06/2023"
"8180694934960","2717051485883","Vehicle","39712.26","10/06/2023"
"3991083397847","3620420203041","Property","5816.60","10/06/2023"
,"5858768879458","Property","11975.77",
"4234329762804","7139556128922","Vehicle","47820.48","11/06/2023"
"7549888346045","7882535367815","Vehicle","39266.09","11/06/2023"
"8063036681863","8744659475796","Property","20041.74","11/06/2023"
"7632839623788","5196948755696",,"36672.40","09/06/2023"
"8571681619116","2464115023820",,"23042.26","09/06/2023"
"9090628202014","1902412338844","Vehicle","30843.68","09/06/2023"
"5092212773061","867164084342","Vehicle","29281.66","09/06/2023"
"1021769339862","7552070555597","Vehicle","15209.96","10/06/2023"
"7020804630098","6609973394599","Bodily Injury","5589.97","10/06/2023"
"3486662398465","7961797911511","Vehicle","31000.94","10/06/2023"
"2158062041488","5598797244992","Property","14885.80","09/06/2023"
"9283206781693","5158972075659","Bodily Injury","33250.67","09/06/2023"
"874709281885","8974039857782","Bodily Injury","37593.46","10/06/2023"
"7354522523994","5304876943090","Property","7576.85","10/06/2023"
"2805328928332","8212378537651",,"13816.13","11/06/2023"
"7012916215465","7884391960869","Bodily Injury","11972.86","10/06/2023"
"6642585706301","4331562297648","Vehicle","969.91","11/06/2023"
"645135968855","3082156536605","Bodily Injury","19801.07","10/06/2023"
"7157888233739","8590940101018","Vehicle","36362.97","10/06/2023"
"6254027018781","6522249196310","Bodily Injury","18988.49","10/06/2023"
"4925052566143","6350103998284","Vehicle","23832.57","11/06/2023"
"9325855614727","614842262457","Property","8296.41","11/06/2023"
"3808847320873","3999583336064","Bodily Injury","47716.62","10/06/2023"
"6624581346054","6730311841306",,"43083.20","11/06/2023"
"4114222368688","7516418210956","Bodily Injury","38707.52","10/06/2023"
"6125615432734","9988495698524","Property","22916.98","11/06/2023"
"4771734685457","2086608742677","Property","15565.69","11/06/2023"
"8792807207426","5834117241820","Bodily Injury","42487.10","11/06/2023"
"4891597426405","7604749181174","Property","32503.20","10/06/2023"
"8796592240625","2609190939295","Vehicle","42752.65","09/06/2023"
"7819835819604","1139450389050","Property","27362.06","10/06/2023"
"4433739083319","8726308217073","Property","18876.86","11/06/2023"
"8185058045983","6942306937640","Property","24314.83",
"5845466152014","2352786546585","Incorrecto","39104.99","11/06/2023"
"6439417389043","939033908678","Vehicle","42138.50","09/06/2023"
"2778749586970","4743596042197","Property","31002.35","10/06/2023"
"3302963010411","4480371870600","Bodily Injury","3272.44","10/06/2023"
"5885946985760","8890846410674","Bodily Injury","43351.12",
"894790540346","5428592653606","Vehicle","34066.18","09/06/2023"
"2920175593421","9679833047486","Vehicle","41910.72","11/06/2023"
"2242555482361","4514777151726","Vehicle","16491.81","11/06/2023"
"5794518444987","7763695939857","Vehicle","22992.74","09/06/2023"
"3248004361993","4657986901167","Bodily Injury","4385.78","10/06/2023"
"7215076034150","3070201212951","Bodily Injury","9188.01","09/06/2023"
"7952466481882","383326300838","Bodily Injury","40123.78","10/06/2023"
"5868236554175","4795773847376","Vehicle","49492.80","10/06/2023"
"789127724986","8917089830261","Vehicle","38881.12","10/06/2023"
"3387431069752","9791002534166",,"765.20","09/06/2023"
"8927725286635","752866572148","Property","26365.77","09/06/2023"
,"4069699025837","Bodily Injury","40829.36","10/06/2023"
"1839736807682","653958666407","Bodily Injury","24971.68","11/06/2023"
"3238899821109","6435476763508","Vehicle",,"10/06/2023"
"5338356620921","8499193268765","Vehicle","19781.12","10/06/2023"
"5462582863248","8775911665757","Bodily Injury","33591.04","09/06/2023"
"8904815659043","8117231658418",,"4448.11","10/06/2023"
"1555437377736","2744510864617","Vehicle","46882.05","10/06/2023"
"8726170911085","4827148638760","Bodily Injury","37265.56","10/06/2023"
"7125256459949","5791050762803","Bodily Injury","16685.75","10/06/2023"
"3591068876808","822205820454","Bodily Injury","2117.59","10/06/2023"
"9992062719552","3620420203041","Property","37360.05","10/06/2023"
"1071990488201","3291267661354","Bodily Injury","34807.28",
"9854212507420","1435695361218","Property","4626.48","09/06/2023"
"2767910870820","4082170901363","Vehicle","6652.72",
"5992180769498","5440162731029",,"35852.15","10/06/2023"
"2384039421099","847396666972","Bodily Injury","31141.01","10/06/2023"
"2549299766204","5774310277721","Property","15658.61","09/06/2023"
"5088508096983","9062706226716","Property","16087.42","09/06/2023"
"5449476505024","7513359504300","Vehicle","4553.16","10/06/2023"
"1803427516416","4078019210128","Bodily Injury","30235.51","09/06/2023"
"6482162224297","4753648722630","Vehicle","19395.39","10/06/2023"
"9508660387792","3238650254275","Bodily Injury","43264.35","10/06/2023"
"8810295666420","4982194212877","Property","8095.02","11/06/2023"
"1511112192184","3291267661354","Property","39493.99","11/06/2023"
"3750788141908","4865245804137","Vehicle","24123.83","11/06/2023"
"8547172742131","3414356663846","Bodily Injury","30322.85","10/06/2023"
,"4756316441451","Property","13188.55","10/06/2023"
"7485655497795","3251082280723","Property","39408.07","09/06/2023"
"2282336481730","5157276706444","Property","41729.97","09/06/2023"
,"6966141443327","Property","45194.50","09/06/2023"
"9897741375989","8540596969923","Bodily Injury","49877.16","11/06/2023"
"6253417132842","870933588809","Vehicle","12917.05","09/06/2023"
"4595473795769","547487832534","Bodily Injury","19648.49","11/06/2023"
"2648742966923","1678726939516","Bodily Injury","32776.34","11/06/2023"
"3071183559804","2852207835030","Bodily Injury","13800.40","10/06/2023"
"6720220246542","8962031536940","Property","832.57","09/06/2023"
"8397120942781","1663414745063","Property","23308.61","09/06/2023"
"7708171476615","3950573202401","Property","25159.48","09/06/2023"
"3758267615983","5497977376805","Vehicle","9868.68","11/06/2023"
"4446974639416","1703634113896","Bodily Injury","15890.37","10/06/2023"
"8539215260176","9438746928986","Vehicle","9000.82","11/06/2023"
"7168964043385","3729782684461","Vehicle","4228.14","09/06/2023"
"1431722820960","8400983973675","Vehicle","12540.72","09/06/2023"
"5378447692335","4070662371581","Bodily Injury","39700.96",
"6480322639816","3076637387329",,"1415.55","10/06/2023"
"9770859364372","3979361870086","Vehicle","23353.16","09/06/2023"
"416491053822","5841604162480","Vehicle","32608.96","10/06/2023"
"9911975048407","9397620253499",,"19710.58","10/06/2023"
"2632851568497","6966179539407","Vehicle","36406.38","09/06/2023"
"2598335250824","3460920956988","Property","11717.01","09/06/2023"
"730827986182","1849613733103","Vehicle","35956.61","10/06/2023"
"3948290132145","6602713675593","Vehicle","26985.44","11/06/2023"
"2352524458073","9504281505424","Vehicle","37727.70","11/06/2023"
"5927537230444","1852180267053","Vehicle","17425.94","10/06/2023"
"4805943909445","4532228072204","Vehicle","48392.61","09/06/2023"
"6769167775423","2388500713474","Vehicle","14051.08","09/06/2023"
"9923326185810","6306842143934","Bodily Injury","24057.24","11/06/2023"
"1394458934868","3441511819083","Property","38996.19","10/06/2023"
"8198377283864","3353264407960","Property","10457.92","10/06/2023"
"7138845861029","183002349926","Vehicle","1347.38",
"9923643859337","6224009486099","Property","21033.25","11/06/2023"
"4480074439783","6640382042429","Bodily Injury","28523.95",
"2811852402741","6791676201475","Property","39865.63","09/06/2023"
,"9222979966886","Property","46904.73","10/06/2023"
"5080930644369","496913031748","Property","23290.56","10/06/2023"
"2491546376502","8814877205758","Bodily Injury","43207.50","10/06/2023"
"590394976066","9106554021822","Bodily Injury","4386.12","09/06/2023"
"1150416158209","4533872862193",,"38176.68","11/06/2023"
"2629348287549","6807000288067","Property","8118.08","10/06/2023"
"487480095009","5670748023207","Bodily Injury","48130.43","11/06/2023"
,"4476927523925","Vehicle","11117.00","11/06/2023"
"9858192780013","3481068273728","Property",,"10/06/2023"
,"349401431769",,"27874.93","09/06/2023"
"3253419147703","3536420823509","Vehicle","14000.72","09/06/2023"
,"5915984520463","Property","26273.22","09/06/2023"
"2928356152126","9225476438940","Property","16663.08","11/06/2023"
"7575937639511","2996603976382","Property","8583.01","10/06/2023"
"4609267050783","8420955158752","Property","48907.46","11/06/2023"
"4215183215895","4397512518872","Bodily Injury","41719.44","10/06/2023"
"4724873127210","8797697325867","Vehicle","25463.72","10/06/2023"
"5907201913141","4249929326645","Vehicle","27703.29","09/06/2023"
"1610168091566","984684257759","Bodily Injury","40681.23","09/06/2023"
"5902390119345","6319811128327","Vehicle","32906.99","09/06/2023"
"2647565445753","1434062464607",,"44985.01","09/06/2023"
"9124522429754","8281867913305","Bodily Injury","8200.60","11/06/2023"
"8391431606213","4069164251371","Vehicle",,"11/06/2023"
"1561178683636","9920067838432","Bodily Injury","2556.10","09/06/2023"
"7130036842878","4226959725370","Bodily Injury","6586.64","11/06/2023"
"9737493181238","7509902455203","Bodily Injury","26710.25",
"1112560551174","1672913960878","Vehicle","1952.24","10/06/2023"
,"6161964300212","Vehicle","30486.54","11/06/2023"
"974222335072","4892577905635","Vehicle","26519.32","10/06/2023"
"3064650540035","9619183093018",,"15648.05","10/06/2023"
"5278055321278","1233539500874","Property","18623.41","11/06/2023"
"8362498801765","3252964879863","Property","9794.99","11/06/2023"
"7161365826358","3133197798051","Bodily Injury","1002.34","10/06/2023"
"7806603713581","553602579721","Bodily Injury","16885.99","11/06/2023"
"9604938303761","2320846695808","Property",,"09/06/2023"
"5860566421333","9600067053206","Bodily Injury","46580.14","09/06/2023"
"3153920798711","5356414314070","Vehicle","45855.15","11/06/2023"
,"6408358717001","Property","35962.19","10/06/2023"
"1991635770076","7176630046629","Bodily Injury","36642.89","09/06/2023"
"8198603231029","9118460234110","Vehicle","22864.13","10/06/2023"
,"2564091539334","Bodily Injury","30361.38","11/06/2023"
"4752566457072","2801420063040","Vehicle","36320.27","10/06/2023"
"7584686246164","4575144266689","Bodily Injury","15473.74","11/06/2023"
"8482969603375","2757869708730","Property","2887.38","10/06/2023"
"8006331657022","9264194629405","Vehicle","16003.20","10/06/2023"
"3757144287088","2551083675960","Bodily Injury","21120.86",
"344253625994","5798964277753","Bodily Injury","880.58","11/06/2023"
"8723121676371","7194967358397","Bodily Injury","24513.23","09/06/2023"
"6814312051721","9111579217826","Vehicle","46967.64","10/06/2023"
,"3161893698854","Bodily Injury","13607.52","11/06/2023"
"9306178566606","2872883907668","Bodily Injury","42751.56",
"9609660643779","7501617148470","Property","44376.08","10/06/2023"
"2254338749988","6365773779092","Vehicle","18688.22","09/06/2023"
"6708334750784","9993986637392","Property","780.92","11/06/2023"
"5513718634077","7949735609353","Vehicle","325.91","11/06/2023"
"154135364805","2160049410213","Bodily Injury","31587.46","10/06/2023"
"9846137321634","8659862034117","Vehicle","1229.12","10/06/2023"
"9604443238059","2179780539709","Property","38772.76","11/06/2023"
"7711161938053","9748667620946","Vehicle","27912.96","10/06/2023"
"8009407549117","1057326937800","Vehicle","2687.81","11/06/2023"
"6152332616430","2859451504944","Bodily Injury","12328.68","10/06/2023"
"5585152276999","4729447068242","Bodily Injury","18461.20","09/06/2023"
"2683867383917","5722508667641","Bodily Injury",,"09/06/2023"
"7555102604939","6829208409897","Property","5823.92","10/06/2023"
"2670826342088","5050577846686","Property","24165.01","09/06/2023"
"2620593149076","6409455367467","Property","40301.37","09/06/2023"
,"9608360353931","incorrect","20161.45","10/06/2023"
"4298762140133","4280300732716",,"4769.37","11/06/2023"
"6353407873669","5047899775797","Property","24541.85","11/06/2023"
"8385881016998","5665378435385","Bodily Injury","4946.88","09/06/2023"
"7475956562244","8493950728329","Property","39869.52","10/06/2023"
"867345835777","6292933215503","Property","24414.97","10/06/2023"
"2071518906688","9928738627482","Bodily Injury","26668.69","09/06/2023"
"6986992941635","2514248363535","Property","20469.99","11/06/2023"
"2690257734539","3017258604943","Bodily Injury","9116.78","10/06/2023"
"1759797618281","7397492801840","Property","4392.08","11/06/2023"
,"9843362759334","Property","48185.25","09/06/2023"
,"8206955456523","Bodily Injury","21536.76","09/06/2023"
"6894493105632","6598615904197","Bodily Injury","17008.91",
"8371126304708","943628662151","Vehicle","27918.81","11/06/2023"
"9611025895018","6613839535134","Property","39675.96","09/06/2023"
"3940785203170","8861568408271","Bodily Injury",,"11/06/2023"
"7448195097655","9475837642268","Property","34729.34","11/06/2023"
"3015979359469","4104884470884",,"2249.36","11/06/2023"
"5558539143470","2297514297304","Bodily Injury","45824.70","11/06/2023"
"7803674808263","716436653892","Property","22623.85","10/06/2023"
"2029531766311","6748011508930","Vehicle","45414.62","09/06/2023"
"1587426350960","8873488022922","Property","48210.30","09/06/2023"
"7359774077115","9198231668448","Property","40275.84","11/06/2023"
"3977357991383","2320846695808","Vehicle","44665.62","10/06/2023"
"4642360829675","9868005173150","Bodily Injury","15586.40","11/06/2023"
"6486448308236","5858768879458","Property","32219.58","11/06/2023"
"9908406412978","6422359927733","Bodily Injury","31956.53","09/06/2023"
"5320889335138","9548237750849","Vehicle","29896.82","11/06/2023"
"6909114055638","7793929077491","Property","32642.35","10/06/2023"
"3767313998192","9269481564501","Vehicle","41459.88","10/06/2023"
,"8243919245046","Bodily Injury",,"11/06/2023"
"9214204734063","2508335834659","Bodily Injury","23378.52","10/06/2023"
,"8304010428110","Vehicle","11157.01","11/06/2023"
"2754801077457","2568914836435","Vehicle","44667.37","11/06/2023"
"9412557488082","9791002534166","Bodily Injury","48050.94","10/06/2023"
"3439002574207","4813083954205","Bodily Injury","21738.89","10/06/2023"
"978698396379","1402936980428","Bodily Injury",,"11/06/2023"
"9062324634127","8478396527871","Property","46749.38","11/06/2023"
,"1509605344157","Property","2506.20","10/06/2023"
"4200405456175","2645795914842","Property","30005.81","10/06/2023"
"9029273868805","5628306262994","Bodily Injury","8220.79","11/06/2023"
"6726735066292","318166896011","Bodily Injury","10872.88","09/06/2023"
"6500630834096","5140522802211","Bodily Injury","20887.21",
"2512129918772","6679577407981",,"3422.00","11/06/2023"
"5352490627582","8335610822831","Property","40799.66","10/06/2023"
"1835301351828","3739934921097","Vehicle","31476.34","10/06/2023"
"6187486552606","1445847039353","Property","45270.26","11/06/2023"
"8232226751143","310881681858",,"35507.48","10/06/2023"
"2663666818839","4017613060917","Vehicle","15737.60","09/06/2023"
"8921936768956","7750861960955","Property","27569.98","11/06/2023"
"3298299248738","2748496425111","Bodily Injury","44872.17","09/06/2023"
"2369985340302","5659330934514","Property","44021.19","11/06/2023"
"1854347448514","7542783182485","Vehicle","32342.08","09/06/2023"
"7810801118819","2371529446982","Property","16507.01",
"9098618994293","6721589229059","Property","43082.61","09/06/2023"
"2408900795275","9982687629517","Property","31420.83","10/06/2023"
"633549491206","9638199578307","Bodily Injury","33057.33","10/06/2023"
"5443087940928","4873727045176","Bodily Injury","14339.68","11/06/2023"
"3684420554812","8932425497305","Vehicle","14798.32","09/06/2023"
"4015451341646","5086973633886","Bodily Injury","34540.24","10/06/2023"
"8728322218441","8947962909867","Vehicle","19222.34","11/06/2023"
"7753564412006","2045923207172","Property","2792.63","10/06/2023"
"1682585388273","1599154722694","Bodily Injury","41212.35","09/06/2023"
"2289192835192","4784016240200","Bodily Injury","27621.19","10/06/2023"
"2595048774516","1969200906712","Bodily Injury","39884.95","11/06/2023"
"1255996543151","3956791011081","Bodily Injury","21185.99","09/06/2023"
"9041556012719","2282024152713","Bodily Injury","38831.81","10/06/2023"
"6381583831992","8104401196590","Bodily Injury","33070.81","10/06/2023"
"1286709557064","536259356610","Vehicle","2334.18","10/06/2023"
"3999002114210","5948438020605","Vehicle","35953.80","09/06/2023"
"7705329018592","904087955097","Vehicle","26710.39","11/06/2023"
"9422784701823","5242460857271",,"31932.99","09/06/2023"
"1759257298350","3019146222185","Property","7439.08","10/06/2023"
"9503176355321","5579553141736","Vehicle","23980.42","10/06/2023"
,"8549251375429",,"5102.01","11/06/2023"
"7573676116381","7514481303248","Vehicle","21777.26","09/06/2023"
"9670062365484","3229857197741",,"40032.41","09/06/2023"
"3486833689593","8006105499260","Vehicle","17243.85","09/06/2023"
"8317482244192","3349116594388","Bodily Injury","14856.85","10/06/2023"
"2894871449508","4874372993046",,"15267.68","09/06/2023"
,"7507486347136","Property",,"11/06/2023"
"2092743784424","9162711912893","Property","22416.81","09/06/2023"
"5673933876193","192112222567","Vehicle","29436.36","10/06/2023"
"2930716688311","3571641164463","Bodily Injury","2598.59","11/06/2023"
"481159446834","3489679869173","Bodily Injury","43890.92","09/06/2023"
"9887891456689","1601573239824","Vehicle","1682.36","09/06/2023"
"5420192522012","4847244462525","Vehicle","16503.19","10/06/2023"
"3334787742323","9709843319978","Bodily Injury","8829.84","11/06/2023"
"4747894341260","8188953073403","Property","23680.80","10/06/2023"
"8179717640726","7002404663827","Bodily Injury","24112.84","09/06/2023"
"7899776615283","8130034626517","Bodily Injury","27940.94","11/06/2023"
"4030548437311","988239241033","Property","3551.35","09/06/2023"
"4011767501789","1183370903743","Bodily Injury","2469.13","10/06/2023"
"884456045454","8117231658418","Bodily Injury","14936.52","10/06/2023"
"9046223257312","7180895046362","Vehicle","7718.94","10/06/2023"
"1275733045886","5679467908181","Vehicle","23904.88","10/06/2023"
"7053641753624","3187305358387",,"28513.59","11/06/2023"
"3838790501485","1973462665283","Property","28860.63","10/06/2023"
"1279281632953","2453096466725","Vehicle","44176.64","09/06/2023"
"4060761614054","2940569286574","Bodily Injury","19548.90","09/06/2023"
"5527395369801","1513021303472","Vehicle","2523.00","11/06/2023"
"2084845353745","9026101760110","Property","36560.31","11/06/2023"
"1481916830830","7949525920424","Bodily Injury","25581.89","6e0abd8e-df67-4795-a625-ffc92db332a5"
"6470851034834","916194873459","Bodily Injury","42327.24","11/06/2023"
"3381454446006","6650555919999",,"38936.44","09/06/2023"
"5945833330245","3637720360475","Bodily Injury","2973.02","09/06/2023"
"9786289046633","3380602895240",,"16303.45","11/06/2023"
"3878181135202","9324707858705","Vehicle","44009.08","10/06/2023"
,"5071987915815","Vehicle","7049.40","09/06/2023"
"705048408799","7513487601227",,"29095.67","11/06/2023"
"1449056762689","7006179776487","Bodily Injury","42581.76","09/06/2023"
"2086895569338","7607152759909","Bodily Injury","36859.91","10/06/2023"
"4486674212272","6373173826312","Property","4855.58","11/06/2023"
,"7560668324787","Bodily Injury","30973.12","11/06/2023"
"4043061515840","6514180876335","Property","9295.95","10/06/2023"
"7759469826524","9294167380823","Vehicle","46679.26","10/06/2023"
"9156944687362","1099849816969","Bodily Injury","47583.06","09/06/2023"
"7457924921267","4900193709682",,"48992.08","11/06/2023"
"9276137726547","3584818666734","Property","43235.50","10/06/2023"
"8490319802576","2283863505846","Bodily Injury","29510.39","09/06/2023"
"5292283167782","4128092229271","Bodily Injury","14391.47","10/06/2023"
"9301814297917","4448723083499","Property",,"10/06/2023"
"3071619951945","7647095103932","Property","15839.37","09/06/2023"
"3606834126052","541158560311","Property","10309.05","09/06/2023"
"1565588430083","1361543825964","Property","26561.57","11/06/2023"
"9742037009726","8047527204072",,"18688.65","09/06/2023"
"1469874220072","2945927481130","Vehicle","16092.68",
"2874788412754","7338556982126","Property","45058.47","09/06/2023"
"6852672492170","7346831412964","Bodily Injury","22921.74","09/06/2023"
"8210541723332","497363254495","Property","34921.53","10/06/2023"
"6159529361223","9010679162685",,"14329.72","09/06/2023"
"6414468654379","5629128812306","Property","48228.16","09/06/2023"
"3059216493236","4966735814281","Bodily Injury","32857.62","11/06/2023"
"4623255061540","6974125540052","Vehicle","33059.45","11/06/2023"
"7506932171059","9071010321321","Property","41818.05","09/06/2023"
"1883496442504","293150223887","Vehicle","37664.26","11/06/2023"
"2581932983184","9818343063867","Vehicle","47729.84","11/06/2023"
"3572439471236","2306479525334","Vehicle","21358.40","09/06/2023"
"2524395744682","9081120031498","Bodily Injury","45633.54","10/06/2023"
"8368515477305","8772686518690","Property","49186.50","10/06/2023"
"3091532098530","1094726269737","Bodily Injury","3655.45","10/06/2023"
"1119542668683","3863920041592","Vehicle","20079.17","11/06/2023"
"5861969426011","8035751849131","Bodily Injury","42433.25","11/06/2023"
"4206589104359","1063365259572","Vehicle","9980.27","11/06/2023"
"8250491544856","7619809556841","Property","39102.75","09/06/2023"
"5163128242737","6358184959323","Vehicle","1199.45","10/06/2023"
"6900214277671","4382655324746","Property","775.36","09/06/2023"
"9525936204054","6763588420495","Bodily Injury","43618.51",
"9553297158112","2548254620151","Bodily Injury","11625.17","11/06/2023"
